,rangoAutovalores,pasos,iters,tiempo
385,176709.622809962,0.99,437,0.01584005355834961
386,185721.75304296688,0.99,1071,0.023883581161499023
387,244590.2456101976,0.99,807,0.024050235748291016
388,207626.6687354229,0.99,1527,0.03996419906616211
389,188212.0134939497,0.99,241,0.003998517990112305
390,230315.8144048959,0.99,946,0.01563549041748047
391,224615.3735982258,0.99,1108,0.01817798614501953
392,223463.51116008693,0.99,1656,0.02819967269897461
393,188823.3652396909,0.99,1283,0.02155590057373047
394,238622.3307053795,0.99,1189,0.024941444396972656
395,207126.78101130005,0.99,1321,0.022318363189697266
396,204013.8868348868,0.99,857,0.014060258865356445
397,220471.82244227792,0.99,357,0.005867958068847656
398,278204.0083830989,0.99,1251,0.022489070892333984
399,339131.4913032096,0.99,420,0.006981372833251953
400,25.91211218391877,0.999,417,0.006876468658447266
401,114.9028816141618,0.999,1238,0.024897336959838867
402,231.3491313703673,0.999,11708,0.3164196014404297
403,419.515993577398,0.999,3761,0.06220674514770508
404,657.7491853432172,0.999,17440,0.3151118755340576
405,857.6877459648322,0.999,9923,0.17321062088012695
406,1483.8273551191069,0.999,180001,4.2424585819244385
407,2030.7927391811345,0.999,6543,0.13308143615722656
408,2117.6608559459,0.999,269,0.01051020622253418
409,2735.6513281345874,0.999,3414,0.12612390518188477
410,3231.856718710456,0.999,92847,1.9736418724060059
411,3320.067373794032,0.999,2078,0.07435750961303711
412,4044.9189198031327,0.999,13825,0.23881173133850098
413,4541.979730787354,0.999,93951,2.4987809658050537
414,5358.327269968615,0.999,351,0.010894298553466797
415,7158.959193446376,0.999,6033,0.18454194068908691
416,7877.898881542444,0.999,579,0.01759028434753418
417,8992.498293699038,0.999,1048,0.03171896934509277
418,9424.779561917385,0.999,717,0.020920991897583008
419,10671.350946713224,0.999,180001,6.133146524429321
420,10861.256262531591,0.999,9206,0.167205810546875
421,11751.706248520317,0.999,943,0.015584230422973633
422,12800.039012785635,0.999,20908,0.6638710498809814
423,17306.77911561314,0.999,1120,0.018326759338378906
424,15572.16801761354,0.999,1383,0.02256917953491211
425,15947.106877596778,0.999,1894,0.030962467193603516
426,16952.596051441335,0.999,6460,0.11976814270019531
427,22269.913064011296,0.999,1131,0.01885366439819336
428,17898.90024658939,0.999,929,0.01535797119140625
429,25451.95513079813,0.999,154901,3.171304941177368
430,21442.82282836756,0.999,68661,1.5954132080078125
431,22866.662767526723,0.999,3991,0.10110640525817871
432,29421.98039366646,0.999,21125,0.5269119739532471
433,28416.31998802142,0.999,6492,0.1163327693939209
434,32482.094148988665,0.999,8505,0.16542792320251465
435,30439.878482379267,0.999,9639,0.16536593437194824
436,36281.78295469264,0.999,1811,0.03794574737548828
437,44598.22215255488,0.999,6420,0.1693425178527832
438,44430.80793075602,0.999,12599,0.27687811851501465
439,44235.6972749866,0.999,396,0.006592273712158203
440,46225.36643657666,0.999,1179,0.02362513542175293
441,43300.752663192725,0.999,7854,0.17352795600891113
442,51779.40865533454,0.999,1011,0.016603708267211914
443,48617.3100197145,0.999,17173,0.30490922927856445
444,43795.82812082818,0.999,2552,0.0419614315032959
445,56007.08648827573,0.999,15829,0.46443676948547363
446,63375.48297169563,0.999,1117,0.04440474510192871
447,60020.05025725486,0.999,1946,0.07185506820678711
448,55493.78230711984,0.999,180001,3.996887445449829
449,65691.75405908842,0.999,128791,2.866054058074951
450,70651.57771927558,0.999,180001,4.136166095733643
451,68720.84797851573,0.999,180001,4.312069416046143
452,89196.90706656872,0.999,13643,0.2714991569519043
453,79303.0433598429,0.999,9248,0.2952115535736084
454,63349.11791913951,0.999,7699,0.2957766056060791
455,81263.30013437448,0.999,6629,0.22302675247192383
456,78197.41573625033,0.999,52504,1.018125057220459
457,75342.32508211334,0.999,7159,0.1282796859741211
458,97759.56200277428,0.999,71959,1.7072043418884277
459,93491.66435369175,0.999,9368,0.2614102363586426
460,82757.73824998751,0.999,5561,0.09000444412231445
461,100222.89322979488,0.999,1704,0.027858257293701172
462,94324.77363040773,0.999,1816,0.029923677444458008
463,114779.97945419914,0.999,1077,0.017611265182495117
464,123855.97005796654,0.999,13803,0.23100066184997559
465,112881.37768309392,0.999,5728,0.18571186065673828
466,101807.21241214182,0.999,3870,0.15108680725097656
467,119184.15891764652,0.999,5987,0.18056511878967285
